P_plan_kWh,P_adj_kWh,P_em_kWh,E_bat_kWh
593.7661332764295,593.7661332764295,0.0,10800.0
596.6845332646787,596.6845332646787,0.0,10800.0
607.2459142543455,607.2459142543455,0.0,10800.0
606.021858335162,606.021858335162,0.0,10800.0
616.3248179890509,616.3248179890509,0.0,10800.0
634.2252398902772,634.2252398902772,0.0,10800.0
641.0810828089382,641.0810828089382,0.0,10800.0
54.71992411492761,54.71992411492761,0.0,10358.802489757327
646.8020270516699,646.8020270516699,0.0,10539.45231410383
640.191692022473,640.191692022473,0.0,10691.035136924056
638.6554478358541,638.6554478358541,0.0,10800.0
1478.1396541693766,1478.1396541693766,0.0,10800.0
649.0827099706628,649.0827099706628,0.0,10800.0
0.0,0.0,0.0,10254.932314814814
665.8058769674773,665.8058769674773,0.0,10401.259604085544
1476.7012225789235,1476.7012225789235,0.0,10800.0
670.9804132232351,670.9804132232351,0.0,10800.0
682.4236071176898,682.4236071176898,0.0,10800.0
662.5311475890034,662.5311475890034,0.0,10800.0
665.94557003392,665.94557003392,0.0,10800.0
12.820487501540052,12.820487501540052,0.0,10259.969060186897
675.7920378488889,675.7920378488889,0.0,10401.703134250896
675.8681869594449,675.8681869594449,0.0,10551.764382514397
1530.4136157256657,1530.4136157256657,0.0,10800.0
700.4676955218531,700.4676955218531,0.0,10800.0
704.4946551122296,704.4946551122296,0.0,10800.0
716.2826257924299,716.2826257924299,0.0,10800.0
716.0543352995878,716.0543352995878,0.0,10800.0
701.4845386378629,701.4845386378629,0.0,10800.0
692.4868314057142,692.4868314057142,0.0,10800.0
708.574309506394,708.574309506394,0.0,10800.0
730.326681531116,730.326681531116,0.0,10800.0
722.6647927048402,722.6647927048402,0.0,10800.0
698.5214075749018,698.5214075749018,0.0,10800.0
779.1253778017096,779.1253778017096,0.0,10800.0
909.86160087692,909.86160087692,0.0,10800.0
84.81320863582337,73.24832196915668,0.0,10286.734598484249
902.5046851158301,891.0663555920205,0.0,10608.674518517068
915.4948917462509,903.9300050795842,0.0,10800.0
909.7960542953666,898.2311676287,0.0,10800.0
897.8882105241535,888.4404729051058,0.0,10800.0
870.2909955265573,867.9359302884619,0.0,10800.0
827.0196199336197,775.5626780288577,0.0,10800.0
788.3399266322878,745.7962780608592,0.0,10800.0
733.7235808032685,700.4988079461257,0.0,10800.0
646.4685017638094,622.7387298590475,0.0,10800.0
363.04929155384644,10.749703962501673,0.0,10410.653726625002
75.01376474394768,71.14809902966195,0.0,10156.459484806108
31.013732884846224,0.0,0.0,9931.763669991293
0.0,0.0,0.0,9787.549669991293
0.0,0.0,0.0,9691.677910732034
0.0,0.0,0.0,9651.712188509813
0.0,0.0,0.0,9582.318929250554
0.0,0.0,0.0,9454.34485517648
0.0,0.0,0.0,9403.429169991294
0.0,0.0,0.0,9431.653619991293
0.0,0.0,0.0,9487.184369991293
0.0,0.0,0.0,9581.781674991293
374.09461274764044,345.44322417621186,0.0,10045.858101749884
317.8158216300561,297.41802067767514,0.0,10507.421695359792
278.0313666690041,234.92917381186123,0.0,10800.0
241.30542425610787,205.91200520848884,0.0,10800.0
210.36125710089595,180.46043995803876,0.0,10800.0
199.50263953161084,170.97441096018227,0.0,10800.0
176.78330331715944,151.76690299969817,0.0,10800.0
976.4476705676418,953.5672105676418,0.0,10800.0
965.088964995357,940.756913090595,0.0,10800.0
966.6659163254956,942.4599253731146,0.0,10800.0
964.744051545351,938.9440129739224,0.0,10800.0
948.0705268879065,926.0548987926683,0.0,10800.0
907.4812566887285,888.4520114506332,0.0,10800.0
867.1243777091573,846.898803423443,0.0,10800.0
867.9424746761598,34.49543800949317,0.0,10800.0
880.9893937821599,0.0,0.0,10800.0
883.8393429978312,48.13133014068834,0.0,10800.0
885.3285402724747,105.1880651769629,0.0,10800.0
923.2147111757076,83.94917641380282,0.0,10800.0
137.55060365628034,129.22878127532795,0.0,10800.0
131.84874592282657,131.84874592282657,0.0,10800.0
