P_grid_kWh,P_chg_kWh,P_dis_kWh,P_curt_kWh,E_bat_kWh
1406.6411,833.3333333333333,0.0,0.0,6750.0
1406.3298666666665,833.3333333333333,0.0,0.0,7500.0
1407.3838500000002,833.3333333333333,0.0,0.0,8250.0
1409.07395,833.3333333333333,0.0,0.0,9000.0
1409.80455,833.3333333333333,0.0,0.0,9750.0
576.6400166666666,0.0,0.0,0.0,9750.0
577.8597,0.0,0.0,0.0,9750.0
577.9938666666667,0.0,0.0,0.0,9750.0
911.1613833333333,333.3333333333333,0.0,0.0,10050.0
580.41545,0.0,0.0,0.0,10050.0
582.5140166666666,0.0,0.0,0.0,10050.0
583.0740499999999,0.0,0.0,0.0,10050.0
584.2049166666666,0.0,0.0,0.0,10050.0
585.4397833333333,0.0,0.0,0.0,10050.0
586.1447499999999,0.0,0.0,0.0,10050.0
586.3207666666666,0.0,0.0,0.0,10050.0
586.4253,0.0,0.0,0.0,10050.0
586.8496,0.0,0.0,0.0,10050.0
587.8210166666667,0.0,0.0,0.0,10050.0
589.5475666666666,0.0,0.0,0.0,10050.0
590.8134666666666,0.0,0.0,0.0,10050.0
590.2131166666666,0.0,0.0,0.0,10050.0
591.0662666666666,0.0,0.0,0.0,10050.0
593.3678333333332,0.0,0.0,0.0,10050.0
593.6596833333333,0.0,0.0,0.0,10050.0
592.7863833333333,0.0,0.0,0.0,10050.0
593.3378666666666,0.0,0.0,0.0,10050.0
596.6757666666666,0.0,0.0,0.0,10050.0
597.78025,0.0,0.0,0.0,10050.0
595.1624999999999,0.0,0.0,0.0,10050.0
590.6065,0.0,0.0,0.0,10050.0
589.4851833333333,0.0,0.0,0.0,10050.0
578.4554499999999,0.0,0.0,0.0,10050.0
1383.659783333333,833.3333333333333,0.0,0.0,10800.0
591.1401999999999,0.0,-0.0,0.0,10800.0
0.0,0.0,668.2538833333333,0.0,10057.495685185186
0.0,0.0,655.4553333333333,0.0,9329.211981481481
0.0,0.0,616.5040333333334,0.0,8644.2075
0.0,0.0,591.4544833333334,0.0,7987.035851851852
0.0,0.0,557.4868666666666,0.0,7367.606000000001
0.0,0.0,529.2397,0.0,6779.561888888889
0.0,0.0,502.4707166666667,0.0,6221.261092592593
0.0,0.0,455.4435666666667,0.0,5715.212685185185
0.0,0.0,410.06669999999997,0.0,5259.583018518519
0.0,0.0,356.99678333333327,0.0,4862.919925925926
0.0,0.0,283.36356666666666,0.0,4548.071518518518
0.0,0.0,320.6841166666666,0.0,4191.755833333333
0.0,0.0,418.4214499999999,0.0,3726.8431111111104
0.0,0.0,381.9107833333333,0.0,3302.4977962962957
0.0,0.0,309.5563499999999,0.0,2958.5462962962956
0.0,0.0,264.61940000000004,0.0,2664.52474074074
0.0,0.0,213.74080000000004,0.0,2427.0349629629623
0.0,0.0,178.55891666666668,0.0,2228.6361666666658
0.0,0.0,155.3921166666667,0.0,2055.9782592592583
0.0,0.0,112.25950000000012,0.0,1931.2454814814803
0.0,0.0,64.39686666666663,0.0,1859.6934074074063
0.0,0.0,22.56224999999995,0.0,1834.6242407407397
0.0,17.424066666666626,0.0,0.0,1850.3059007407396
0.0,52.83776666666669,0.0,0.0,1897.8598907407397
0.0,84.56241666666665,0.0,0.0,1973.9660657407396
0.0,116.98358333333331,0.0,0.0,2079.2512907407395
0.0,146.6606,0.0,0.0,2211.2458307407396
0.0,173.52025000000003,0.0,0.0,2367.4140557407395
0.0,201.02908333333318,0.0,0.0,2548.3402307407396
0.0,225.40611666666655,0.0,0.0,2751.2057357407393
0.0,244.00925000000007,0.0,0.0,2970.8140607407395
575.1709166666666,833.3333333333333,0.0,0.0,3720.8140607407395
0.0,272.6315333333333,0.0,0.0,3966.1824407407394
0.0,284.32098333333334,0.0,0.0,4222.07132574074
179.2771713991827,468.5786380658495,0.0,0.0,4643.792100000004
520.1245166666665,833.3333333333333,0.0,0.0,5393.792100000004
486.4028999999999,833.3333333333333,0.0,0.0,6143.792100000004
480.4124499999999,833.3333333333333,0.0,0.0,6893.792100000004
485.3,833.3333333333333,0.0,0.0,7643.792100000004
488.60696666666655,833.3333333333333,0.0,0.0,8393.792100000004
498.2707333333333,833.3333333333333,0.0,0.0,9143.792100000004
0.0,304.5517666666666,0.0,0.0,9417.888690000003
0.0,264.5071833333333,0.0,0.0,9655.945155000003
0.0,242.50754999999995,0.0,0.0,9874.201950000002
